figure,panel,suite,method,metric,unit,estimand,mean,ci95_low,ci95_high,n_blocks,n_evaluable_scenarios
5,b,scale32,MaxWeight,queue_overflow_packet_probability,%,mean,5.984352323610616,5.536537740228923,6.432166906992309,5,120
5,b,scale12,WeightedMaxWeight,queue_overflow_packet_probability,%,mean,3.1149406208726527,2.8886444669063818,3.3412367748389236,5,120
5,b,scale16,WeightedMaxWeight,queue_overflow_packet_probability,%,mean,2.15041006497094,1.8268181814274802,2.4740019485144003,5,120
5,b,scale24,WeightedMaxWeight,queue_overflow_packet_probability,%,mean,4.284381764803531,3.7356158511513287,4.833147678455735,5,120
5,b,scale32,WeightedMaxWeight,queue_overflow_packet_probability,%,mean,5.562638778888688,4.9566648519930885,6.168612705784288,5,120
5,b,scale12,EDF,queue_overflow_packet_probability,%,mean,2.086335765485761,1.7805186742042631,2.3921528567672588,5,120
5,b,scale16,EDF,queue_overflow_packet_probability,%,mean,1.5118575691597325,1.161709876254657,1.862005262064808,5,120
5,b,scale24,EDF,queue_overflow_packet_probability,%,mean,3.76127691930444,3.2439552638121865,4.2785985747966935,5,120
5,b,scale32,EDF,queue_overflow_packet_probability,%,mean,5.213649943679161,4.678565523122775,5.748734364235546,5,120
5,b,scale12,LyapunovDPP-Energy,queue_overflow_packet_probability,%,mean,3.7295711035397274,3.5572849231445427,3.901857283934912,5,120
5,b,scale16,LyapunovDPP-Energy,queue_overflow_packet_probability,%,mean,2.931807266710756,2.4022018165063086,3.461412716915204,5,120
5,b,scale24,LyapunovDPP-Energy,queue_overflow_packet_probability,%,mean,4.917264780132874,4.2056451963323696,5.628884363933379,5,120
